1517194546,141208,609428,47156,703480,77308,
1517194967,142400,608236,47480,703156,77320,
1517195388,143248,607388,47684,702952,77344,
1517195809,143388,607248,47180,703456,77360,
1517196230,147700,602936,50780,699856,77736,
1517196651,144840,605796,47504,703132,77452,+kworker/1:0;
1517197072,145940,604696,48052,702584,77468,
1517197494,146336,604300,47936,702700,77484,
1517197915,147012,603624,47936,702700,77496,
1517198336,147840,602796,48212,702424,77512,
1517198758,148224,602412,47940,702696,77528,
1517199179,149152,601484,48156,702480,77544,
1517199600,149320,601316,47792,702844,77552,
1517200022,150020,600616,47992,702644,77576,
1517200444,150456,600180,47900,702736,77592,
1517200867,151432,599204,48060,702576,77608,
1517201289,151936,598700,48272,702364,77620,
1517201711,152512,598124,48100,702536,77636,
1517202133,153000,597636,48036,702600,77652,
1517202556,153664,596972,48260,702376,77668,
1517202980,154224,596412,48024,702612,77684,
1517203403,154852,595784,48304,702332,77704,
1517203827,155336,595300,48120,702516,77720,
1517204251,156152,594484,48232,702404,77728,
1517204674,156476,594160,47956,702680,77748,
1517205098,157048,593588,48092,702544,77764,
1517205521,157792,592844,48328,702308,77772,
1517205947,158552,592084,48360,702276,77800,
1517206373,158708,591928,48020,702616,77816,
1517206799,159288,591348,48348,702288,77832,
1517207225,160148,590488,48252,702384,77848,
1517207651,160828,589808,48580,702056,77864,
1517208077,161140,589496,48188,702448,77876,
1517208503,162080,588556,48428,702208,77892,
1517208928,162628,588008,48604,702032,77908,
1517209355,163400,587236,49008,701628,77924,
1517209781,164160,586476,48832,701804,77940,
1517210207,164628,586008,48756,701880,77968,
1517210633,165164,585472,48592,702044,77984,
1517211059,165740,584896,48872,701764,78000,
1517211486,166180,584456,48692,701944,78012,
1517211912,166692,583944,48512,702124,78028,
1517212339,167520,583116,48696,701940,78044,
1517212765,167964,582672,48632,702004,78060,
1517213191,168876,581760,48892,701744,78076,
1517213618,169204,581432,48704,701932,78092,
1517214043,169460,581176,48508,702128,78108,
1517214469,170624,580012,48580,702056,78124,
1517214895,171268,579368,48972,701664,78136,
1517215320,172036,578600,49056,701580,78152,
1517215746,171784,578852,48508,702128,78168,
1517216172,172588,578048,48584,702052,78184,
1517216598,173164,577472,48596,702040,78200,
1517217024,173956,576680,49008,701628,78216,
1517217450,174724,575912,49120,701516,78232,
1517217877,175264,575372,48964,701672,78248,
1517218303,175696,574940,48772,701864,78260,+kworker/2:0;
1517218729,176180,574456,48712,701924,78276,
1517219155,176556,574080,48644,701992,78292,
1517219581,177316,573320,48580,702056,78308,-kworker/0:0;,-kworker/3:0;
1517220008,177940,572696,48752,701884,78324,
1517220434,178876,571760,48796,701840,78340,+kworker/0:2;
1517220858,179372,571264,49064,701572,78356,
1517221283,179756,570880,48740,701896,78372,
1517221709,192428,558208,56120,694516,82144,
1517222137,202076,548560,56456,694180,90340,
1517222564,202560,548076,56216,694420,90356,
1517222992,202776,547860,56120,694516,90372,
1517223420,208880,541756,59320,691316,91784,
1517223848,217860,532776,67772,682864,91800,
